1, Cooke Creek, Uncle Mo, Jeremiah ODwyer, Manuel Franco, 5/2
2, Unbridled Bomber, Upstart, James T Ryerson, Dylan Davis, 8/1
3, Ohtwoohthreefive, Union Rags, George Weaver, Kendrick Carmouche, 7/2
4, Rumble Strip Ron, Klimt, Anthony T Quartarolo, Eric Cancel, 30/1
5, Smarten Up, American Freedom, Alfredo Velazquez, Anthony Salgado, 12/1
6, Courvoisier, Tapit, Kelly J Breen, Jose L Ortiz, 5/1
7, Mr Jefferson, Constitution, Michael J Trombetta, Mychel J Sanchez, 9/2
8, Hagler, Tapiture, Rudy R Rodriguez, Jorge A Vargas Jr, 4/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
