1, Constitutionlawyer, Constitution, Raymond Handal, Dylan Davis, 3/1
2, Union Lights, Union Rags, Michelle Nevin, Manuel Franco, 20/1
3, Pathological, Exaggerator, Danny Gargan, Kendrick Carmouche, 6/1
4, Long Term, Curlin, Todd A Pletcher, Jose L Ortiz, 5/2
5, Curteis, Connect, Bernard G Dunham, Ruben Silvera, 30/1
6, Rookieoftheyear, Madefromlucky, H Graham Motion, Trevor McCarthy, 10/1
7, Order of Magnitude, Curlin, Chad C Brown, Eric Cancel, 5/1
8, Perfect Flight, Uncle Mo, Steven M Asmussen, Jose Lezcano, 3/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
