2, Writers Regret, Teuflesberg, Ralph DAlessandro, Eric Cancel, 20/1
5, Double Vision, Central Banker, Ralph DAlessandro, Kevin Navarro, 20/1
1, Big Bobby, Shanghai Bobby, William I Mott, Jose L Ortiz, 5/2
3, T Loves a Fight, Girolamo, Orlando Noda, Jalon L Samuel, 6/1
4, Devious Mo, Laoban, Amira Chichakly, Samuel Camacho Jr, 30/1
6, Bronx Bomber, Take Charge Indy, Rudy R Rodriguez, Trevor McCarthy, 8/1
7, Durkins Call, Jump Start, Linda Rice, Jose Lezcano, 5/1
8, Money in the Bank, Central Banker, Chris J Englehart, Dylan Davis, 6/1
9, Bustin Shout, Bustin Stones, Bruce N Levine, Kendrick Carmouche, 8/1
10, More Graytful, Graydar, Rob Atras, Manuel Franco, 3/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
