1, Enter Sandwoman, Sky Mesa, Ben Colebrook, Kendrick Carmouche, 8/1
2, Tellaperfecttale, Forty Tales, Wayne Potts, Christian Ramos, 20/1
3, Cadeau de Paix, Majestic Warrior, Patrick L Reynolds, Jose L Ortiz, 3/1
4, Boss Cara, Street Boss, Mitchell E Friedman, Dylan Davis, 12/1
5, Cazilda Fortytales, Forty Tales, Juan C Vazquez, Jorge A Vargas Jr, 9/5
6, Violent Vixen, Violence, Charlton Baker, Eric Cancel, 4/1
7, Thegoddessofsnakes, Street Boss, Chad Summers, Trevor McCarthy, 6/1
8, Early Edition, Munnings, Stacy Machiz, Abner Adorno, 10/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
