1, Tale of Mist, Tale of Ekati, Randi Persaud, Samuel Camacho Jr, 30/1
2, Speeding Kid, Law Enforcement, Wayne Potts, Christian Ramos, 6/1
3, Summer Bourbon, Ghostzapper, Linda Rice, Jose Lezcano, 5/2
4, Binkster, Bluegrass Cat, Raymond Handal, Dylan Davis, 6/1
5, Karens Cove, Tale of the Cat, Chandradat Goberdhan, Luis A Rodriguez Castro, 10/1
6, Winning Drive, Flatter, Mertkan Kantarmaci, Heman K Harkie, 10/1
7, Bourbon Mission, Mission Impazible, Rudy R Rodriguez, Manuel Franco, 9/2
8, Fleet Warrior, Bustin Stones, Jeffrey S Englehart, Trevor McCarthy, 8/1
9, Missalpha, Alpha, Chris J Englehart, Eric Cancel, 4/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
