1, Impressionist, Mission Impazible, Rob Atras, Kendrick Carmouche, 9/5
2, Wild Carp Diem, Carpe Diem, James T Ryerson, Manuel Franco, 12/1
3, Bustin Up, Bustin Stones, Robert N Falcone Jr, Trevor McCarthy, 4/1
4, The Institute, Into Mischief, Horacio De Paz, Jose L Ortiz, 6/1
5, Clash A J, Bank Heist, Eduardo E Jones, Christian Ramos, 30/1
6, Pineapple Man, Gormley, Michael J Maker, Dylan Davis, 8/1
7, Relate, Connect, Steven M Asmussen, Jose Lezcano, 5/2
8, Waheel, Union Jackson, Paul W Barrow, Andre Shivnarine Worrie, 12/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
