1, Elegant Laoban, Laoban, Keith OBrien, Samuel Camacho Jr, 15/1
2, Incontrovertible, Imagining, Edward T Allard, Jose L Ortiz, 1/1
3, Cinnamon Dream, Laoban, Fausto Gutierrez, Jose Antonio Gomez, 12/1
4, Flight Forward, Big Brown, Richard J Lugovich, Benjamin Hernandez, 15/1
5, Reeley Psyched, Freud, Bruce R Brown, Luis A Rodriguez Castro, 8/1
6, Exfiltration, Twirling Candy, Horacio De Paz, Kendrick Carmouche, 8/5
7, Emerald Banker, Central Banker, Steven T Jerkens, Gary Richards, 30/1
8, Ethels Doctorate, Cairo Prince, Snyder - Connie and Richard, Omar Hernandez Moreno, 20/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
