1, Big Time Lady, Big Brown, Raymond Handal, Manuel Franco, 8/1
2, Snicket, Lemon Drop Kid, David P Duggan, Dylan Davis, 5/1
3, Ancient Brown, Big Brown, David G Donk, Benjamin Hernandez, 15/1
4, Electric Youth, Dialed In, Rudy R Rodriguez, Trevor McCarthy, 7/2
5, Towering Orbit, Orb, Charlton Baker, Jose L Ortiz, 3/1
6, Jens Battle, Declaration of War, Oscar S Barrera III, Jose Antonio Gomez, 10/1
7, Proper Grammar, Laoban, John S Pregman Jr, Raul E Mena, 50/1
8, Highway Queen, Super Saver, Steve Klesaris, Kendrick Carmouche, 4/1
9, Candy Monet, Paynter, David G Donk, Jorge A Vargas Jr, 15/1
10, Ok Honey, Haynesfield, Oscar S Barrera III, Heman K Harkie, 10/1
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0
